STOP_LOCATION_PRECINCT,PUMA
1,3810
5,3809
6,3810
7,3809
9,3809
10,3807
13,3808
14,3807
17,3808
18,3807
19,3805
20,3806
22,3806
23,3804
24,3806
25,3804
26,3802
28,3803
30,3801
32,3803
33,3801
34,3801
40,3710
41,3710
42,3710
43,3709
44,3708
45,3703
46,3707
47,3702
48,3705
49,3704
50,3701
52,3706
60,4018
61,4016
62,4017
63,4009
66,4014
67,4011
68,4012
69,4009
70,4014
71,4011
72,4012
73,4007
75,4008
76,4005
77,4003
78,4004
79,4004
81,4002
83,4110
84,4004
88,4004
90,4001
94,4001
100,4114
101,4114
102,4111
103,4106
104,4110
105,4104
106,4111
107,4106
108,4109
109,4103
110,4102
111,4104
112,4108
113,4112
114,4101
115,4102
120,3903
121,3903
122,3902
123,3901